Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased,Total_Active_Patients,Rd [Reproduction Rate],Reproduction_Rate
18-Mar,25,171,0,15,0,3,153,2.130718954,UNSAFE
19-Mar,27,198,5,20,1,4,174,2.143678161,UNSAFE
20-Mar,58,256,3,23,0,4,229,1.751091703,UNSAFE
21-Mar,78,334,0,23,0,4,307,1.28990228,UNSAFE
22-Mar,69,403,0,23,3,7,373,1.286863271,UNSAFE
23-Mar,94,497,2,25,2,9,463,1.127429806,UNSAFE
24-Mar,74,571,15,40,1,10,521,1.090211132,UNSAFE
25-Mar,86,657,3,43,1,11,603,1.109452736,UNSAFE
26-Mar,73,730,7,50,5,16,664,1.362951807,UNSAFE
27-Mar,153,883,25,75,3,19,789,1.490494297,UNSAFE
28-Mar,136,1019,10,85,5,24,910,1.676923077,UNSAFE
